frame.number,frame.time,eth.src,eth.dst,ip.src,ip.dst,ip.proto
"1","Jul 13, 2021 23:09:16.998640000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"2","Jul 13, 2021 23:09:16.998677000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"3","Jul 13, 2021 23:09:16.998714000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"4","Jul 13, 2021 23:09:16.998748000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"5","Jul 13, 2021 23:09:16.998781000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"6","Jul 13, 2021 23:09:16.998814000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"7","Jul 13, 2021 23:09:17.000601000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"8","Jul 13, 2021 23:09:17.000646000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"9","Jul 13, 2021 23:09:17.000678000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"10","Jul 13, 2021 23:09:17.000706000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"11","Jul 13, 2021 23:09:17.000734000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"12","Jul 13, 2021 23:09:17.000775000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"13","Jul 13, 2021 23:09:17.713782000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"14","Jul 13, 2021 23:09:17.713802000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"15","Jul 13, 2021 23:09:18.714768000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"16","Jul 13, 2021 23:09:18.714798000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"17","Jul 13, 2021 23:09:19.712640000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"18","Jul 13, 2021 23:09:19.712667000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"19","Jul 13, 2021 23:09:20.714959000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"20","Jul 13, 2021 23:09:20.714994000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"21","Jul 13, 2021 23:09:21.710323000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"22","Jul 13, 2021 23:09:21.710350000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"23","Jul 13, 2021 23:09:22.710158000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"24","Jul 13, 2021 23:09:22.710198000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
"25","Jul 13, 2021 23:09:23.709790000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.0.0.1","10.0.0.251","1"
"26","Jul 13, 2021 23:09:23.709821000 CEST","4e:a2:91:48:0d:dd","b6:07:be:25:43:69","10.100.0.2","10.0.0.251","1"
