frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1552411964.716582000","10.1.0.0","10.2.0.0","60","0","0"
"1552411964.757972000","10.2.0.0","10.1.0.0","60","0","1"
"1552411964.761869000","10.1.0.0","10.2.0.0","52","0","1"
"1552411964.761891000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.763067000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.764278000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.765487000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.766699000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.767910000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.769122000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.770333000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.771548000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.772360000","10.1.0.0","10.2.0.0","1004","952","1"
"1552411964.802217000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.802615000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.803097000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.804307000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.805509000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.806734000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.807944000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.809151000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.810362000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.811599000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.812400000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.817205000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.818371000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.821933000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.823095000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.824311000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.826658000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.831395000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.832555000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.836131000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.837295000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.840844000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.842010000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.842682000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.845590000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.846758000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.847959000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.850295000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.857259000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.858403000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.862020000","10.2.0.0","10.1.0.0","64","0","1"
"1552411964.863186000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.863248000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.864423000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.864414000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.865605000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.866726000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.866815000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.869578000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.870732000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.871502000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.872638000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.873265000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.874412000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.875683000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.876200000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.876876000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.877409000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.878073000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.879506000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.880712000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.880874000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.882129000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.882352000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.883549000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.884951000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.885684000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.886133000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.886842000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.887530000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.888068000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.888706000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.889885000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.890370000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.891152000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.892334000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.893528000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.894750000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.895959000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.903294000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.903358000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.904503000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.904558000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.905652000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.905714000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.906869000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.906926000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.908148000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.909381000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.909607000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.910565000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.910790000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.911774000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.912990000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.913293000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.914215000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.914452000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.915445000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.915734000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.916667000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.916932000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.917903000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.918125000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.919131000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.919542000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.920374000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.920795000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.921590000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.922380000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.922786000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.923669000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.923964000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.925007000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.925162000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.926227000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.926374000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.927627000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.927618000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.928828000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.928819000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.929984000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.930040000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.931252000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.931231000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.932399000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.932466000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.933594000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.933663000","10.1.0.0","10.2.0.0","1500","1448","1"
"1552411964.934836000","10.2.0.0","10.1.0.0","52","0","1"
"1552411964.934910000","10.1.0.0","10.2.0.0","1500","1448","1"
