frame.time_epoch,ip.src,ip.dst,ip.len
"1628110153.411285000","10.0.0.2","10.0.0.10","94"
"1628110153.514098000","10.0.0.2","10.0.0.10","94"
"1628110153.616823000","10.0.0.2","10.0.0.10","94"
"1628110153.717850000","10.0.0.2","10.0.0.10","94"
"1628110153.845571000","10.0.0.2","10.0.0.10","94"
"1628110153.946497000","10.0.0.2","10.0.0.10","94"
"1628110154.466052000","10.0.0.2","10.0.0.10","94"
"1628110155.432354000","10.0.0.2","10.0.0.10","94"
"1628110156.476310000","10.0.0.2","10.0.0.10","94"
"1628110157.443733000","10.0.0.2","10.0.0.10","94"
"1628110158.472651000","10.0.0.2","10.0.0.10","94"
"1628110158.683115000","10.0.1.2","10.0.0.10","94"
"1628110158.784322000","10.0.1.2","10.0.0.10","94"
"1628110158.885939000","10.0.1.2","10.0.0.10","94"
"1628110158.996044000","10.0.1.2","10.0.0.10","94"
"1628110159.103846000","10.0.1.2","10.0.0.10","94"
"1628110159.205872000","10.0.1.2","10.0.0.10","94"
"1628110159.739675000","10.0.1.2","10.0.0.10","94"
"1628110160.692209000","10.0.1.2","10.0.0.10","94"
"1628110161.727339000","10.0.1.2","10.0.0.10","94"
"1628110162.774757000","10.0.1.2","10.0.0.10","94"
"1628110163.760928000","10.0.1.2","10.0.0.10","94"
