frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1632265530.283592000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.283752000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.284289000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.284396000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.284562000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.284733000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.284911000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.285350000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.292178000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.292481000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.292871000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.293211000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.293530000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.293895000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.295135000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.297065000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.297282000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.297535000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.298973000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.299942000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.300231000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.300666000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.303911000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.304158000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.304448000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.305807000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.306791000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.319516000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.319741000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.320016000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.320303000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.320619000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.320946000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.321178000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.321417000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.321652000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.342013000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.342233000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.342488000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.342733000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.343178000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.344891000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.345124000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.345347000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.351752000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.351966000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.352219000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.352501000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.352715000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.352913000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.355616000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.355819000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.356063000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.356287000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.356431000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.356743000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.356909000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.357023000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.357211000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.357354000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.357607000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.357755000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.357880000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.358166000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.358351000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.358465000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.358720000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.358867000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.358990000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.359510000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.370397000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.370612000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.379185000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.379401000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.379655000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.379917000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.380139000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.380359000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.383056000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.383277000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.384537000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.384760000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.387805000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.388046000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.388271000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.393728000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.399557000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.399736000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.399975000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.400175000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.400427000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.400641000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.400873000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.404425000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.407309000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.408225000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.408361000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.409031000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.409269000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.409464000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.410254000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.410488000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.434812000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.435069000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.435391000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.435658000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.435941000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.436197000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.436506000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.436753000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.437014000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.444534000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.444970000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.445251000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.448395000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.448691000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.448937000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.449148000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.449301000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.449436000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.449719000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.450062000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.450283000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.450423000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.450555000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.450742000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.450887000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.451084000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.451268000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.451453000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.451636000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.451818000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.452003000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.452194000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.452378000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.452574000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.454746000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.454948000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.455270000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.455472000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.455669000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.455944000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.456182000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.456315000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.456663000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.456901000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.457068000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.457182000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.457369000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.457795000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.457933000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.458067000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.458423000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.458548000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.458692000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.458923000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.459276000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.459784000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.459977000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.460408000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.460553000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.460679000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.460963000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.461447000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.462122000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.462247000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.462935000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.463165000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.463464000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.463640000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.464168000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.464361000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.464655000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.465082000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.465255000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.465564000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.465876000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.466182000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.466489000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.466818000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.467139000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.467438000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.467754000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.467975000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.468204000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.468617000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.468871000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.469177000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.469483000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.469805000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.470110000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.470417000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.470967000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.471153000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.471364000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.471669000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.471891000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.472291000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.472449000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.472814000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.472993000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.473268000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.473542000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.473826000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.474102000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.474374000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.474696000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.474899000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.475155000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.475453000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.475756000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.476026000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.476295000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.476610000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.476794000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.477066000","10.0.0.10","10.0.3.10","1440","1400","0"
"1632265530.477364000","10.0.0.10","10.0.3.10","1440","1400","0"
