frame.time_epoch,ip.src,ip.dst,ip.len
"1628092530.976521000","10.0.0.2","10.0.0.10","311"
"1628092531.979573000","10.0.0.2","10.0.0.10","311"
"1628092532.985780000","10.0.0.2","10.0.0.10","311"
"1628092533.986542000","10.0.0.2","10.0.0.10","311"
"1628092534.988554000","10.0.0.2","10.0.0.10","311"
"1628092535.991752000","10.0.0.2","10.0.0.10","311"
"1628092536.995438000","10.0.0.2","10.0.0.10","311"
"1628092537.998131000","10.0.0.2","10.0.0.10","311"
"1628092539.000001000","10.0.0.2","10.0.0.10","311"
"1628092540.011577000","10.0.0.2","10.0.0.10","311"
"1628092541.019499000","10.0.0.2","10.0.0.10","311"
"1628092542.027495000","10.0.0.2","10.0.0.10","311"
"1628092543.028788000","10.0.0.2","10.0.0.10","311"
"1628092544.030483000","10.0.0.2","10.0.0.10","311"
"1628092545.059705000","10.0.0.2","10.0.0.10","311"
"1628092546.107432000","10.0.0.2","10.0.0.10","311"
"1628092547.108522000","10.0.0.2","10.0.0.10","311"
"1628092548.273821000","10.0.0.2","10.0.0.10","311"
"1628092549.276538000","10.0.0.2","10.0.0.10","311"
"1628092550.277616000","10.0.0.2","10.0.0.10","311"
"1628092551.279011000","10.0.0.2","10.0.0.10","311"
"1628092552.283340000","10.0.0.2","10.0.0.10","311"
"1628092553.289593000","10.0.0.2","10.0.0.10","311"
"1628092554.300846000","10.0.0.2","10.0.0.10","311"
"1628092555.302025000","10.0.0.2","10.0.0.10","311"
"1628092556.303718000","10.0.0.2","10.0.0.10","311"
"1628092557.307658000","10.0.0.2","10.0.0.10","311"
"1628092558.310131000","10.0.0.2","10.0.0.10","311"
"1628092559.312125000","10.0.0.2","10.0.0.10","311"
"1628092560.313224000","10.0.0.2","10.0.0.10","311"
"1628092561.315009000","10.0.0.2","10.0.0.10","311"
"1628092562.316345000","10.0.0.2","10.0.0.10","311"
"1628092563.318680000","10.0.0.2","10.0.0.10","311"
"1628092564.320317000","10.0.0.2","10.0.0.10","311"
"1628092565.321952000","10.0.0.2","10.0.0.10","311"
"1628092566.323275000","10.0.0.2","10.0.0.10","311"
"1628092567.330881000","10.0.0.2","10.0.0.10","311"
"1628092568.333427000","10.0.0.2","10.0.0.10","311"
"1628092569.335526000","10.0.0.2","10.0.0.10","311"
"1628092570.337715000","10.0.0.2","10.0.0.10","311"
"1628092571.339292000","10.0.0.2","10.0.0.10","311"
"1628092572.341237000","10.0.0.2","10.0.0.10","311"
"1628092573.342699000","10.0.0.2","10.0.0.10","311"
"1628092574.345725000","10.0.0.2","10.0.0.10","311"
"1628092575.348719000","10.0.0.2","10.0.0.10","311"
