frame.time_epoch,ip.src,ip.dst,ip.len
"1628536185.885129000","10.0.0.2","10.0.0.10","94"
"1628536185.885760000","10.0.0.2","10.0.0.10","94"
"1628536187.905971000","10.0.0.2","10.0.0.10","94"
"1628536187.906993000","10.0.0.2","10.0.0.10","94"
"1628536189.913941000","10.0.0.2","10.0.0.10","94"
"1628536189.913951000","10.0.0.2","10.0.0.10","94"
"1628536191.930595000","10.0.0.2","10.0.0.10","94"
"1628536191.935911000","10.0.0.2","10.0.0.10","94"
"1628536193.940343000","10.0.0.2","10.0.0.10","94"
"1628536193.940346000","10.0.0.2","10.0.0.10","94"
"1628536195.942355000","10.0.0.2","10.0.0.10","94"
"1628536195.944111000","10.0.0.2","10.0.0.10","94"
"1628536198.026973000","10.0.0.2","10.0.0.10","94"
"1628536198.032597000","10.0.0.2","10.0.0.10","94"
"1628536200.113552000","10.0.0.2","10.0.0.10","94"
"1628536200.114069000","10.0.0.2","10.0.0.10","94"
"1628536202.283742000","10.0.0.2","10.0.0.10","94"
"1628536202.284147000","10.0.0.2","10.0.0.10","94"
"1628536204.307058000","10.0.0.2","10.0.0.10","94"
"1628536204.307766000","10.0.0.2","10.0.0.10","94"
"1628536206.344798000","10.0.0.2","10.0.0.10","94"
"1628536206.345674000","10.0.0.2","10.0.0.10","94"
"1628536208.370296000","10.0.0.2","10.0.0.10","94"
"1628536208.372431000","10.0.0.2","10.0.0.10","94"
"1628536210.375734000","10.0.0.2","10.0.0.10","94"
"1628536210.376101000","10.0.0.2","10.0.0.10","94"
"1628536212.403999000","10.0.0.2","10.0.0.10","94"
"1628536212.406921000","10.0.0.2","10.0.0.10","94"
"1628536214.961922000","10.0.0.2","10.0.0.10","94"
"1628536214.975587000","10.0.0.2","10.0.0.10","94"
"1628536216.994912000","10.0.0.2","10.0.0.10","94"
"1628536216.994916000","10.0.0.2","10.0.0.10","94"
"1628536219.042394000","10.0.0.2","10.0.0.10","94"
"1628536219.043628000","10.0.0.2","10.0.0.10","94"
"1628536221.044737000","10.0.0.2","10.0.0.10","94"
"1628536221.045743000","10.0.0.2","10.0.0.10","94"
"1628536223.201389000","10.0.0.2","10.0.0.10","94"
"1628536223.201759000","10.0.0.2","10.0.0.10","94"
"1628536225.207781000","10.0.0.2","10.0.0.10","94"
"1628536225.208418000","10.0.0.2","10.0.0.10","94"
"1628536227.209973000","10.0.0.2","10.0.0.10","94"
"1628536227.212562000","10.0.0.2","10.0.0.10","94"
"1628536229.295253000","10.0.0.2","10.0.0.10","94"
"1628536229.295264000","10.0.0.2","10.0.0.10","94"
