frame.time_epoch,ip.src,ip.dst,ip.len
"1628108874.256903000","10.0.0.2","10.0.0.10","311"
"1628108875.264628000","10.0.0.2","10.0.0.10","311"
"1628108876.271438000","10.0.0.2","10.0.0.10","311"
"1628108877.273669000","10.0.0.2","10.0.0.10","311"
"1628108878.283290000","10.0.0.2","10.0.0.10","311"
"1628108879.289620000","10.0.0.2","10.0.0.10","311"
"1628108880.295058000","10.0.0.2","10.0.0.10","311"
"1628108881.295588000","10.0.0.2","10.0.0.10","311"
"1628108882.301701000","10.0.0.2","10.0.0.10","311"
"1628108883.305993000","10.0.0.2","10.0.0.10","311"
"1628108884.325887000","10.0.0.2","10.0.0.10","311"
"1628108885.327322000","10.0.0.2","10.0.0.10","311"
"1628108886.328318000","10.0.0.2","10.0.0.10","311"
"1628108887.357842000","10.0.0.2","10.0.0.10","311"
"1628108888.359339000","10.0.0.2","10.0.0.10","311"
"1628108889.361569000","10.0.0.2","10.0.0.10","311"
"1628108890.362838000","10.0.0.2","10.0.0.10","311"
"1628108891.371455000","10.0.0.2","10.0.0.10","311"
"1628108892.372822000","10.0.0.2","10.0.0.10","311"
"1628108893.373687000","10.0.0.2","10.0.0.10","311"
"1628108894.374795000","10.0.0.2","10.0.0.10","311"
"1628108895.377550000","10.0.0.2","10.0.0.10","311"
"1628108896.379377000","10.0.0.2","10.0.0.10","311"
"1628108897.393571000","10.0.0.2","10.0.0.10","311"
"1628108898.394600000","10.0.0.2","10.0.0.10","311"
"1628108899.396451000","10.0.0.2","10.0.0.10","311"
"1628108900.397404000","10.0.0.2","10.0.0.10","311"
"1628108901.408019000","10.0.0.2","10.0.0.10","311"
"1628108902.410181000","10.0.0.2","10.0.0.10","311"
"1628108903.411421000","10.0.0.2","10.0.0.10","311"
"1628108904.416491000","10.0.0.2","10.0.0.10","311"
"1628108905.417601000","10.0.0.2","10.0.0.10","311"
"1628108906.419018000","10.0.0.2","10.0.0.10","311"
"1628108907.420078000","10.0.0.2","10.0.0.10","311"
"1628108908.422174000","10.0.0.2","10.0.0.10","311"
"1628108909.423610000","10.0.0.2","10.0.0.10","311"
"1628108910.433599000","10.0.0.2","10.0.0.10","311"
"1628108911.443200000","10.0.0.2","10.0.0.10","311"
"1628108912.445638000","10.0.0.2","10.0.0.10","311"
"1628108913.457369000","10.0.0.2","10.0.0.10","311"
"1628108914.459493000","10.0.0.2","10.0.0.10","311"
"1628108915.464252000","10.0.0.2","10.0.0.10","311"
"1628108916.489534000","10.0.0.2","10.0.0.10","311"
"1628108917.491781000","10.0.0.2","10.0.0.10","311"
"1628108918.494153000","10.0.0.2","10.0.0.10","311"
"1628108919.494931000","10.0.0.2","10.0.0.10","311"
"1628108920.530093000","10.0.0.2","10.0.0.10","311"
"1628108921.538066000","10.0.0.2","10.0.0.10","311"
"1628108922.541109000","10.0.0.2","10.0.0.10","311"
"1628108923.542297000","10.0.0.2","10.0.0.10","311"
"1628108924.543597000","10.0.0.2","10.0.0.10","311"
"1628108925.610134000","10.0.0.2","10.0.0.10","311"
"1628108926.616166000","10.0.0.2","10.0.0.10","311"
"1628108927.617823000","10.0.0.2","10.0.0.10","311"
"1628108928.626490000","10.0.0.2","10.0.0.10","311"
"1628108929.631592000","10.0.0.2","10.0.0.10","311"
"1628108930.636339000","10.0.0.2","10.0.0.10","311"
"1628108931.645161000","10.0.0.2","10.0.0.10","311"
"1628108932.647376000","10.0.0.2","10.0.0.10","311"
"1628108933.648750000","10.0.0.2","10.0.0.10","311"
"1628108934.649630000","10.0.0.2","10.0.0.10","311"
"1628108935.655973000","10.0.0.2","10.0.0.10","311"
"1628108936.665600000","10.0.0.2","10.0.0.10","311"
"1628108937.668177000","10.0.0.2","10.0.0.10","311"
"1628108938.676893000","10.0.0.2","10.0.0.10","311"
"1628108939.681581000","10.0.0.2","10.0.0.10","311"
"1628108940.698426000","10.0.0.2","10.0.0.10","311"
"1628108941.700733000","10.0.0.2","10.0.0.10","311"
"1628108942.704078000","10.0.0.2","10.0.0.10","311"
"1628108943.709403000","10.0.0.2","10.0.0.10","311"
"1628108944.710759000","10.0.0.2","10.0.0.10","311"
"1628108945.712104000","10.0.0.2","10.0.0.10","311"
"1628108946.713016000","10.0.0.2","10.0.0.10","311"
"1628108947.714026000","10.0.0.2","10.0.0.10","311"
"1628108948.715021000","10.0.0.2","10.0.0.10","311"
"1628108949.718077000","10.0.0.2","10.0.0.10","311"
"1628108950.720106000","10.0.0.2","10.0.0.10","311"
"1628108951.722746000","10.0.0.2","10.0.0.10","311"
"1628108952.727716000","10.0.0.2","10.0.0.10","311"
"1628108953.728780000","10.0.0.2","10.0.0.10","311"
"1628108954.734375000","10.0.0.2","10.0.0.10","311"
"1628108955.737674000","10.0.0.2","10.0.0.10","311"
"1628108956.741028000","10.0.0.2","10.0.0.10","311"
"1628108957.745713000","10.0.0.2","10.0.0.10","311"
"1628108958.748776000","10.0.0.2","10.0.0.10","311"
"1628108959.750720000","10.0.0.2","10.0.0.10","311"
"1628108960.752255000","10.0.0.2","10.0.0.10","311"
"1628108961.753395000","10.0.0.2","10.0.0.10","311"
"1628108962.754952000","10.0.0.2","10.0.0.10","311"
