frame.time_epoch,ip.src,ip.dst,ip.len,tcp.len,tcp.flags.ack
"1628693442.662696000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.662734000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.662831000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.662848000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.662857000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.662868000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.662874000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.662884000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.662890000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.662901000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.662978000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.662995000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663149000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663165000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663243000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663260000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663268000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663279000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663285000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663295000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663301000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663311000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663316000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663327000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663332000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663343000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663419000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663436000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663444000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663455000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663482000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663493000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663498000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663509000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663536000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663546000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663569000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663579000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663585000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663595000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663601000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663647000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663659000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663672000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663767000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663784000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663792000","10.0.0.10","10.0.3.10","66","26","0"
"1628693442.663803000","10.0.3.10","10.0.0.10","40","0","1"
"1628693442.663809000","10.0.0.10","10.0.3.10","66","26","0"
